avg_transaction,frequency,credit_score,vip_status
38.76,16,708.0,0
18.49,14,653.0,0
22.39,13,634.0,0
81.3,13,758.0,0
45.46,14,701.0,0
46.9,9,664.0,0
42.24,17,715.0,0
47.01,12,782.0,0
69.54,6,595.0,0
31.78,9,638.0,0
32.86,8,669.0,0
82.49,11,800.0,0
39.27,17,736.0,0
44.84,15,762.0,0
37.86,18,657.0,0
37.87,10,658.0,0
55.33,22,745.0,0
104.79,13,723.0,1
57.6,12,750.0,0
21.5,10,710.0,0
55.18,8,735.0,0
49.03,14,729.0,0
54.24,18,763.0,0
58.04,14,764.0,0
33.27,17,631.0,0
27.7,9,596.0,0
66.99,13,775.0,0
48.97,9,785.0,0
25.97,12,664.0,0
137.85,13,618.0,1
37.84,16,725.0,0
56.46,12,771.0,0
44.0,12,819.0,0
53.33,7,748.0,0
31.48,13,700.0,0
33.12,15,671.0,0
69.17,15,721.0,0
53.29,7,704.0,0
49.39,15,664.0,0
43.9,14,833.0,0
108.87,6,818.0,0
41.28,9,782.0,0
75.71,15,669.0,0
75.51,13,767.0,0
63.23,8,755.0,0
39.06,16,744.0,0
59.99,11,789.0,0
45.35,5,755.0,0
53.68,14,761.0,0
48.46,13,755.0,0
27.93,18,739.0,0
56.42,11,622.0,0
46.48,7,725.0,0
35.34,15,689.0,0
28.38,12,650.0,0
67.38,8,812.0,0
49.24,9,815.0,0
34.98,11,795.0,0
56.56,17,734.0,0
67.87,11,794.0,0
44.05,8,721.0,0
34.01,11,731.0,0
39.57,17,660.0,0
32.71,13,742.0,0
34.05,9,723.0,0
25.86,7,648.0,0
63.58,10,717.0,0
40.93,11,716.0,0
55.25,21,819.0,0
106.08,4,769.0,0
53.48,11,721.0,0
55.18,15,734.0,0
41.85,14,722.0,0
36.81,14,709.0,0
15.25,19,660.0,0
65.85,9,712.0,0
49.12,14,679.0,0
33.95,13,651.0,0
49.12,14,748.0,0
64.7,9,742.0,0
13.94,10,622.0,0
37.55,11,713.0,0
40.66,8,775.0,0
100.46,7,778.0,0
73.24,19,776.0,1
24.4,17,722.0,0
22.05,11,674.0,0
36.04,13,660.0,0
42.93,8,739.0,0
33.8,13,741.0,0
108.93,7,791.0,0
61.7,10,780.0,0
54.73,21,713.0,0
27.04,14,652.0,0
58.52,14,702.0,0
43.13,8,732.0,0
41.05,14,709.0,0
53.91,10,688.0,0
30.17,9,734.0,0
81.43,8,692.0,0
45.05,6,685.0,0
78.2,16,737.0,0
29.74,10,698.0,0
36.67,14,733.0,0
34.45,11,735.0,0
42.06,6,657.0,0
44.23,18,694.0,0
52.06,11,799.0,0
24.1,5,656.0,0
13.74,6,604.0,0
30.95,14,618.0,0
40.42,13,722.0,0
37.64,15,722.0,0
82.95,10,714.0,0
55.78,14,787.0,0
53.26,15,573.0,0
42.56,8,742.0,0
64.24,12,806.0,0
36.89,7,658.0,0
24.42,7,699.0,0
73.89,10,679.0,0
37.56,10,671.0,0
59.02,10,702.0,0
48.37,13,799.0,0
59.64,12,821.0,0
32.51,12,702.0,0
90.05,15,825.0,1
52.9,10,722.0,0
68.14,4,816.0,0
77.17,14,715.0,0
73.16,12,727.0,0
65.16,9,740.0,0
49.3,13,850.0,0
44.28,14,767.0,0
27.96,16,681.0,0
69.27,12,773.0,0
47.03,7,700.0,0
26.03,6,693.0,0
51.61,13,770.0,0
29.44,11,722.0,0
48.53,11,735.0,0
27.99,14,721.0,0
59.71,12,739.0,0
57.39,12,743.0,0
80.88,10,613.0,0
69.6,4,757.0,0
32.65,19,666.0,0
51.49,13,641.0,0
29.53,7,717.0,0
34.93,10,725.0,0
47.3,11,682.0,0
31.21,15,766.0,0
35.42,16,646.0,0
30.27,16,698.0,0
43.98,9,688.0,0
32.65,9,717.0,0
57.1,10,735.0,0
39.1,17,665.0,0
85.2,12,760.0,0
47.73,16,723.0,0
20.79,7,616.0,0
27.09,13,612.0,0
30.39,11,719.0,0
52.61,7,708.0,0
57.37,10,714.0,0
121.45,10,718.0,0
40.03,12,732.0,0
50.76,14,772.0,0
29.58,10,659.0,0
41.09,13,656.0,0
44.94,10,660.0,0
48.61,14,736.0,0
80.44,11,788.0,0
34.67,8,696.0,0
46.9,11,582.0,0
43.08,18,626.0,0
40.03,20,674.0,0
37.66,13,689.0,0
116.2,14,698.0,1
36.16,19,722.0,0
49.78,9,703.0,0
45.27,18,778.0,0
86.66,7,683.0,0
57.93,14,673.0,0
41.42,16,746.0,0
43.92,17,636.0,0
54.81,16,741.0,0
40.35,9,726.0,0
60.76,7,712.0,0
67.21,7,807.0,0
45.7,5,686.0,0
63.41,9,833.0,0
53.07,15,708.0,0
40.54,10,650.0,0
48.66,11,724.0,0
29.05,12,661.0,0
82.73,16,679.0,0
36.59,9,742.0,0
59.45,13,751.0,0
37.05,10,686.0,0
99.43,13,774.0,1
44.42,8,784.0,0
48.64,10,799.0,0
38.52,10,749.0,0
64.08,15,795.0,0
14.71,13,617.0,0
37.39,17,703.0,0
17.24,15,672.0,0
52.26,15,727.0,0
35.01,10,689.0,0
27.86,15,711.0,0
85.68,10,824.0,0
29.42,11,711.0,0
66.3,11,743.0,0
35.28,11,707.0,0
86.37,13,724.0,0
61.83,13,720.0,0
37.45,15,745.0,0
44.34,15,784.0,0
72.15,12,811.0,0
45.58,13,737.0,0
49.28,15,752.0,0
65.88,16,657.0,0
35.91,13,715.0,0
56.39,13,772.0,0
73.88,13,768.0,0
64.92,15,732.0,0
51.87,8,769.0,0
46.69,15,747.0,0
37.14,17,786.0,0
35.64,11,736.0,0
49.8,11,700.0,0
47.67,8,738.0,0
24.18,12,559.0,0
72.08,8,741.0,0
5.0,15,519.0,0
29.19,13,625.0,0
54.07,10,745.0,0
41.1,12,746.0,0
70.61,9,656.0,0
59.71,12,681.0,0
63.51,12,795.0,0
88.56,12,693.0,0
47.65,15,843.0,0
46.96,18,720.0,0
57.02,12,742.0,0
48.09,12,809.0,0
53.48,12,727.0,0
24.47,10,665.0,0
59.53,8,714.0,0
69.12,11,718.0,0
40.61,11,645.0,0
24.29,9,706.0,0
28.06,6,679.0,0
65.31,15,771.0,0
47.73,15,722.0,0
19.06,12,704.0,0
73.65,10,714.0,0
51.26,10,732.0,0
40.9,6,754.0,0
59.52,11,665.0,0
28.89,7,663.0,0
46.46,9,781.0,0
50.1,9,697.0,0
80.38,10,642.0,0
90.15,17,744.0,1
57.35,14,745.0,0
42.94,8,636.0,0
64.65,21,733.0,1
37.36,9,760.0,0
62.49,16,741.0,0
42.02,14,755.0,0
41.15,8,643.0,0
46.27,21,738.0,0
53.86,11,703.0,0
45.11,9,693.0,0
26.86,12,768.0,0
62.37,8,801.0,0
74.16,15,819.0,0
66.08,11,792.0,0
44.54,16,714.0,0
90.04,9,739.0,0
58.93,9,762.0,0
56.06,6,727.0,0
70.14,11,727.0,0
60.38,5,765.0,0
